Start time (minutes): +I|tid:1|07:18:46
Idle 0.166666666667 minutes (07:18:46)
Idle 5.0 minutes (07:28:38)
Idle 7.46666666667 minutes (07:38:39)
Idle 7.28333333333 minutes (07:48:37)
Idle 7.51666666667 minutes (07:58:39)
Idle 7.46666666667 minutes (08:08:44)
Idle 7.33333333333 minutes (08:18:37)
Idle 7.05 minutes (08:28:44)
Idle 7.08333333333 minutes (08:38:44)
Idle 6.95 minutes (08:48:43)
Idle 5.56666666667 minutes (08:58:46)
Idle 7.16666666667 minutes (09:08:37)
Idle 7.35 minutes (09:18:37)
Idle 7.01666666667 minutes (09:28:42)
Idle 7.21666666667 minutes (09:38:41)
Idle 7.05 minutes (09:48:41)
Idle 7.23333333333 minutes (09:58:44)
Idle 6.68333333333 minutes (10:08:36)
Idle 7.58333333333 minutes (10:18:45)
Idle 2.7 minutes (10:28:40)
Idle 7.38333333333 minutes (10:38:38)
Idle 3.83333333333 minutes (10:58:38)
Idle 2.11666666667 minutes (11:08:46)
Idle 2.53333333333 minutes (11:18:39)
Idle 3.23333333333 minutes (11:28:42)
Idle 4.61666666667 minutes (11:38:42)
Idle 3.61666666667 minutes (11:48:39)
Idle 4.31666666667 minutes (11:58:36)
Idle 9.21666666667 minutes (12:08:38)
Idle 9.06666666667 minutes (12:18:39)
Idle 9.11666666667 minutes (12:28:37)
Idle 9.08333333333 minutes (12:38:38)
Idle 8.78333333333 minutes (12:48:40)
Idle 9.33333333333 minutes (12:58:42)
Idle 9.01666666667 minutes (01:08:45)
Idle 8.88333333333 minutes (01:18:42)
Idle 9.28333333333 minutes (01:28:44)
Idle 9.3 minutes (01:38:46)
Idle 8.81666666667 minutes (01:48:41)
Total idle time:260.433333333 counter:39
Stop time: 829.5
Start time: 438.766666667
Total time 390.733333333
